year,pacfa_id,business_type,facility_name,address,city,state,zip_code,county,latitude,longitude
2016,,Pet Animal Small Shelter,County of Park Animal Shelter,59815 Us Hwy 285,Bailey,Co,80421,Park County,39.405602,-105.472801
2017,,Pet Animal Small Shelter,County of Park Animal Shelter,59815 Us Hwy 285,Bailey,Co,80421,Park County,39.444417,-105.521483
2019,,Pet Animal Small Shelter,County of Park Animal Shelter,59815 Us Hwy 285,Bailey,Co,80421,Park County,39.444417,-105.521483
2020,,Pet Animal Small Shelter,County of Park Animal Shelter,59815 Us Hwy 285,Bailey,Co,80421,Park County,39.444417,-105.521483
2021,,Pet Animal Small Shelter,County of Park Animal Shelter,59815 Us Hwy 285,Bailey,Co,80421,Park County,39.444417,-105.521483
2022,,Pet Animal Small Shelter,County of Park Animal Shelter,59815 Us Hwy 285,Bailey,Co,80421,Park County,39.444417,-105.521483
2023,,Pet Animal Small Shelter,County of Park Animal Shelter,59815 Us Hwy 285,Bailey,Co,80421,Park County,39.444417,-105.521483
Licensing,,Pet Animal Small Shelter,County of Park Animal Shelter,59815 Us Hwy 285,Bailey,Co,80421,Park,39.444417,-105.521483
2010,1629,,Craig Moffat County Animal Shelter,2430 E Victory Way,Craig,Co,81625.0,,,
2007,2729.0,,"Creative Acres, Inc",13701 Cavanaugh Mile Rd.,Hudson,Co,80642.0,Adams County,39.942964,-104.546035
2008,2729,,"Creative Acres, Inc",13701 Cavanaugh Mile Rd.,Hudson,Co,80642.0,Adams County,39.942964,-104.546035
2009,2729,,"Creative Acres, Inc",13701 Cavanaugh Mile Rd.,Hudson,Co,80642.0,Adams County,39.942964,-104.546035
2010,2729,,"Creative Acres, Inc",Po Box 1143 ,Breckenridge,Co,80642.0,Adams County,39.942964,-104.546035
2011,2729,,"Creative Acres, Inc",13701 Cavanaugh Mile Rd.,Hudson,Co,80642.0,Adams County,39.942964,-104.546035
2012,2729.0,,"Creative Acres, Inc",13701 Cavanaugh Mile Rd.,Hudson,Co,80642.0,Adams County,39.942964,-104.546035
2013,2729,,"Creative Acres, Inc",13701 Cavanaugh Mile Rd.,Hudson,Co,80642.0,Adams County,39.942964,-104.546035
2014,2729,,"Creative Acres, Inc",13701 Cavanaugh Road,Hudson ,Co,80642,Adams County,39.942964,-104.546035
2007,5347.0,,Creative Playcenters By Pat West Inc.,3904 S. Mariposa St.,Englewood,Co,80110.0,,,
2008,5347,,Creative Playcenters By Pat West Inc.,3904 S. Mariposa St.,Englewood,Co,80110.0,,,
2022,,,Creature Box LLC,,,,,,,
2010,1699,,Cripple Creek Animal Shelter,550 Hayden St,Cripple Creek,Co,80813.0,Teller County,38.74569,-105.178358
2015,1699,,Cripple Creek Animal Shelter,550 Hayden,Cripple Creek,Co,80813,Teller County,38.74569,-105.178358
2016,1699,,Cripple Creek Animal Shelter,550 Hayden,Cripple Creek,Co,80816,Teller County,38.74569,-105.178358
2017,1699,,Cripple Creek Animal Shelter,550 Hayden,Cripple Creek,Co,80813,Teller County,38.784838,-105.187723
2020,1699,,Cripple Creek Animal Shelter,550 Hayden,Cripple Creek,Co,80813,Teller County,38.784838,-105.187723
2021,1699,,Cripple Creek Animal Shelter,550 Hayden,Cripple Creek,Co,80813,Teller County,38.784838,-105.187723
Licensing,,Pet Animal Small Shelter,Cripple Creek Police Department,,Cripple Creek,Co,,Teller,,
2018,,,"Cszdvm, Llc",,,,,Garfield County,,
2017,,,Cuddle Bug Chinchillas,,Aurora,,80013,Arapahoe County,39.659198,-104.774814
2019,,,Cuddle Bug Chinchillas,,Aurora,,80013,Arapahoe County,39.659198,-104.774814
2020,,,Cuddle Bug Chinchillas,,Aurora,,80013,Arapahoe County,39.659198,-104.774814
2021,,,Cuddle Bug Chinchillas,,Aurora,,80013,Arapahoe County,39.659198,-104.774814
2022,,,Cuddle Bug Chinchillas,,Aurora,,80013,Arapahoe County,39.659198,-104.774814
2023,,,Cuddle Bug Chinchillas,,Aurora,,80013,Arapahoe County,39.659198,-104.774814
2007,5122.0,,D & D Pet Kennel,21000 Hwy. 71,Woodrow,Co,80757.0,,,
2008,5122,,D & D Pet Kennel,21000 Hwy. 71,Woodrow,Co,80757.0,,,
2007,857.0,,D N R Kennels,115 Gateway Dr,Breckenridge,Co,80424.0,,,
2008,857,,D N R Kennels,115 Gateway Dr,Breckenridge,Co,80424.0,,,
2009,857,,D N R Kennels,115 Gateway Dr,Breckenridge,Co,80424.0,,,
2010,857,,D N R Kennels,115 Gateway Dr,Breckenridge,Co,80424.0,,,
2011,857,,D N R Kennels,115 Gateway Dr,Breckenridge,Co,80424.0,,,
2012,857.0,,D N R Kennels,115 Gateway Dr,Breckenridge,Co,80424.0,,,
2013,857,,D N R Kennels,115 Gateway Dr,Breckenridge,Co,80424.0,,,
2009,6238,,DMK Rehoming,8154 Downing Drive,Thornton,Co,80229.0,,,
2011,6238,,DMK Rehoming,8154 Downing Drive,Thornton,Co,80229.0,,,
2012,6238.0,,DMK Rehoming,8154 Downing Drive,Thornton,Co,80229.0,,,
2023,6238.0,,DMK Rehoming,8154 Downing Drive,Thornton,Co,80229.0,,,
2021,,,"DMK Rehoming, Inc",,,,,,,
2019,,Pet Animal Large Rescue,"DMK Rehoming, Inc.",,Littleton,Co,,Jefferson,,
2022,,Pet Animal Large Rescue,"DMK Rehoming, Inc.",,Littleton,Co,,Jefferson,,
Licensing,,Pet Animal Large Rescue,"DMK Rehoming, Inc.",,Littleton,Co,,Jefferson,,
2007,4008.0,,Dachshund Rescue Of Colorado,12193 E. Florida Ave.,Aurora,Co,80012.0,,,
2016,,,Dakota Ranch Dog Rescue,,Matheson,,80830,Elbert County,39.1717,-103.974998
2018,,,Dakota Ranch Dog Rescue,,Matheson,,80830,Elbert County,39.1717,-103.974998
2019,,,Dakota Ranch Dog Rescue,,Matheson,,80830,Elbert County,39.1717,-103.974998
2020,,,Dakota Ranch Dog Rescue,,Matheson,,80830,Elbert County,39.1717,-103.974998
2022,,,Dakota Ranch Inc.,,,,,,,
2007,1885.0,,"Dalmatian Rescue Of Colorado, Inc.",713 Mcgraw Dr.,Fort Collins,Co,80526.0,,,
2008,1885,,"Dalmatian Rescue Of Colorado, Inc.",713 Mcgraw Dr.,Fort Collins,Co,80526.0,,,
2009,1885,,"Dalmatian Rescue Of Colorado, Inc.",713 Mcgraw Dr.,Fort Collins,Co,80526.0,,,
2010,1885,,"Dalmatian Rescue Of Colorado, Inc.",713 Mcgraw Dr.,Fort Collins,Co,80526.0,,,
2011,1885,,"Dalmatian Rescue Of Colorado, Inc.",713 Mcgraw Dr.,Fort Collins,Co,80526.0,,,
2012,1885.0,,"Dalmatian Rescue Of Colorado, Inc.",713 Mcgraw Dr.,Fort Collins,Co,80526.0,,,
2013,1885,,"Dalmatian Rescue Of Colorado, Inc.",713 Mcgraw Dr.,Fort Collins,Co,80526.0,,,
2014,,,Dalmatian Rescue of Colorado,6828 Rimrock Valley Ln,Ft Collins ,,80526,Larimer County,40.512316,-105.164911
2015,,,Dalmatian Rescue of Colorado,6828 Rim Rock Valley Lane,Ft Collins ,,80526,Larimer County,40.512316,-105.164911
2016,,,Dalmatian Rescue of Colorado,6828 Rim Rock Valley Lane,Fort Collins,,80526,Larimer County,40.588972,-105.082459
2017,,,Dalmatian Rescue of Colorado,6828 Rim Rock Valley Lane,Fort Collins,,80526,Larimer County,40.534366,-105.115142
2018,,,Dalmatian Rescue of Colorado,6828 Rim Rock Valley Lane,Fort Collins,,80526,Larimer County,40.534366,-105.115142
2019,,Pet Animal Small Rescue,"Dalmatian Rescue of Colorado, Inc.",,Colorado Springs,Co,,El Paso,,
2020,,Pet Animal Small Rescue,"Dalmatian Rescue of Colorado, Inc.",,Colorado Springs,Co,,El Paso,,
2021,,Pet Animal Small Rescue,"Dalmatian Rescue of Colorado, Inc.",,Colorado Springs,Co,,El Paso,,
2022,,Pet Animal Small Rescue,"Dalmatian Rescue of Colorado, Inc.",,Colorado Springs,Co,,El Paso,,
2023,,Pet Animal Small Rescue,"Dalmatian Rescue of Colorado, Inc.",,Colorado Springs,Co,,El Paso,,
Licensing,,Pet Animal Small Rescue,"Dalmatian Rescue of Colorado, Inc.",,Colorado Springs,Co,,El Paso,,
2015,,Pet Animal Large Rescue,"Dancing Dog Rescue and Recovery Ranch, Inc.",8759 Cr 55,Keenesburg,Co,80643,Weld County,40.108925,-104.521234
2016,,Pet Animal Large Rescue,"Dancing Dog Rescue and Recovery Ranch, Inc.",8759 Cr 55,Keenesburg,Co,80643,Weld County,40.108925,-104.521234
2017,,Pet Animal Large Rescue,"Dancing Dog Rescue and Recovery Ranch, Inc.",8759 Cr 55,Keenesburg,Co,80643,Weld County,40.067143,-104.493065
2018,,Pet Animal Large Rescue,"Dancing Dog Rescue and Recovery Ranch, Inc.",8759 Cr 55,Keenesburg,Co,80643,Weld County,40.067143,-104.493065
2019,,Pet Animal Large Rescue,"Dancing Dog Rescue and Recovery Ranch, Inc.",8759 Cr 55,Keenesburg,Co,80643,Weld County,40.067143,-104.493065
2020,,Pet Animal Large Rescue,"Dancing Dog Rescue and Recovery Ranch, Inc.",8759 Cr 55,Keenesburg,Co,80643,Weld County,40.067143,-104.493065
2021,,Pet Animal Large Rescue,"Dancing Dog Rescue and Recovery Ranch, Inc.",8759 Cr 55,Keenesburg,Co,80643,Weld County,40.067143,-104.493065
2022,,Pet Animal Large Rescue,"Dancing Dog Rescue and Recovery Ranch, Inc.",8759 Cr 55,Keenesburg,Co,80643,Weld County,40.067143,-104.493065
2023,,Pet Animal Large Rescue,"Dancing Dog Rescue and Recovery Ranch, Inc.",8759 Cr 55,Keenesburg,Co,80643,Weld County,40.067143,-104.493065
Licensing,,Pet Animal Large Rescue,"Dancing Dog Rescue and Recovery Ranch, Inc.",8759 Cr 55,Commerce City,Co,80643,Adams,40.067143,-104.493065
2015,,,Dave and Mary Jackson,11356 Rd. 25.4,,,81321,Montezuma County,,
2010,3955,,David & Mary Jackson,11356 Rd. 25.4,Cortez,Co,81321.0,Montezuma County,37.34862,-108.583778
2016,3955,,David & Mary Jackson,11356 Rd. 25.4,Cortez,Co,81321,Montezuma County,37.34862,-108.583778
2017,3955,,David & Mary Jackson,11356 Rd. 25.4,Cortez,Co,81321,Montezuma County,37.35312,-108.642546
2014,,,David & MaryJackson,11356 Rd 25.4,Cortez ,,81321,Montezuma County,37.376138,-108.584152
Licensing,,Pet Animal Small Shelter,David J Neverette,,Fountain,Co,,El Paso,,
2022,,,David J. Jackson,,,,,,,
2020,,,David Jackson,,,,,,,
2021,,,David Jackson,,,,,,,
2019,,,David Jackson dba David & Mary Jackson Animal Sanctuary,,,,,,,
2018,,,David and Mary Jackson,,,,,Montezuma County,,
2010,5737,,Davis Enterprises Inc. Dba Centrol Bark,"1621 W. Canal Cir., #109",Littleton,Co,80120.0,,,
2007,5737.0,,Davis Enterprises Inc. dba Centrol Bark,"1621 W. Canal Cir., #109",Littleton,Co,80120.0,,,
2008,5737,,Davis Enterprises Inc. dba Centrol Bark,"1621 W. Canal Cir., #109",Littleton,Co,80120.0,,,
2009,5737,,Davis Enterprises Inc. dba Centrol Bark,"1621 W. Canal Cir., #109",Littleton,Co,80120.0,,,
Licensing,,Pet Animal Sanctuary,Dawn L. Emel,,Salida,Co,,Chaffee,,
2010,5950,,Dba All Setter Rescue,9990 Defoe Street,Strasburg,Co,80136.0,,,
2022,,,"Deanna Davidson-Callahan, Rainbow Otter Animal Sanctuary",,,,,,,
2018,,,Debi Stevens,,,,,Fremont County,,
2020,,,Deborah A Hill,,,,,,,
2014,,,Delta County CAWS,640 W 4th St ,Delta ,,81416,Delta County,38.741616,-108.078671
2015,,,Delta County CAWS,640 W. 4th Street,Delta ,,81416,Delta County,38.741616,-108.078671
2010,4295,,Delta County Citizens For Animal Welfare & Shelter,211 Grand Ave,Paenia,Co,81428.0,,,
Licensing,,Pet Animal Small Shelter,Delta County Citizens for Animal Welfare & Shelter,,Paonia,Co,,Delta,,
2012,6902.0,,Delta County Citizens for Animal Welfare & Shlter (CAWS),640 W 4th St,Delta,Co,81416.0,,,
2013,6902,,Delta County Citizens for Animal Welfare & Shlter (CAWS),640 W 4th St,Delta,Co,81416.0,,,
2016,,,Delta County Citizens for Animal Welfare and Shelter,,Delta,,Co 81416,Delta County,38.741684,-108.070175
2017,,,Delta County Citizens for Animal Welfare and Shelter,,Delta,,81416,Delta County,38.736655,-108.099446
2019,,,Delta County Citizens for Animal Welfare and Shelter,,Delta,,81416,Delta County,38.736655,-108.099446
2020,,,Delta County Citizens for Animal Welfare and Shelter,,Delta,,81416,Delta County,38.736655,-108.099446
2021,,,Delta County Citizens for Animal Welfare and Shelter,,Delta,,81416,Delta County,38.736655,-108.099446
2022,,,Delta County Citizens for Animal Welfare and Shelter,,Delta,,81416,Delta County,38.736655,-108.099446
2023,,,Delta County Citizens for Animal Welfare and Shelter,,Delta,,81416,Delta County,38.736655,-108.099446
2007,3236.0,Pet Animal Large Rescue,Delta County Humane Society,537 Main St.,Delta,Co,81416.0,Delta County,38.739487,-108.070842
2008,3236,Pet Animal Large Rescue,Delta County Humane Society,537 Main St.,Delta,Co,81416.0,Delta County,38.739487,-108.070842
2009,3236,Pet Animal Large Rescue,Delta County Humane Society,537 Main St.,Delta,Co,81416.0,Delta County,38.739487,-108.070842
2010,3236,Pet Animal Large Rescue,Delta County Humane Society,537 Main St.,Delta,Co,81416.0,Delta County,38.739487,-108.070842
2011,3236,Pet Animal Large Rescue,Delta County Humane Society,537 Main St.,Delta,Co,81416.0,Delta County,38.739487,-108.070842
2012,3236.0,Pet Animal Large Rescue,Delta County Humane Society,537 Main St.,Delta,Co,81416.0,Delta County,38.739487,-108.070842
2013,3236,Pet Animal Large Rescue,Delta County Humane Society,537 Main St.,Delta,Co,81416.0,Delta County,38.739487,-108.070842
2014,3236,Pet Animal Large Rescue,Delta County Humane Society,537  Main St,Delta ,Co,81416,Delta County,38.739487,-108.070842
2015,3236,Pet Animal Large Rescue,Delta County Humane Society,PO Box 1111,Delta ,Co,81416,Delta County,38.739487,-108.070842
2016,3236,Pet Animal Large Rescue,Delta County Humane Society,PO Box 1111,Delta,Co,81416,Delta County,38.741684,-108.070175
2017,3236,Pet Animal Large Rescue,Delta County Humane Society,PO Box 1111,Delta,Co,81416,Delta County,38.736655,-108.099446
2018,3236,Pet Animal Large Rescue,Delta County Humane Society,PO Box 1111,Delta,Co,81416,Delta County,38.736655,-108.099446
2020,3236,Pet Animal Large Rescue,Delta County Humane Society,PO Box 1111,Delta,Co,81416,Delta County,38.736655,-108.099446
2021,3236,Pet Animal Large Rescue,Delta County Humane Society,PO Box 1111,Delta,Co,81416,Delta County,38.736655,-108.099446
2022,3236,Pet Animal Large Rescue,Delta County Humane Society,PO Box 1111,Delta,Co,81416,Delta County,38.736655,-108.099446
2023,3236,Pet Animal Large Rescue,Delta County Humane Society,PO Box 1111,Delta,Co,81416,Delta County,38.736655,-108.099446
Licensing,3236,Pet Animal Large Rescue,Delta County Humane Society,PO Box 1111,Delta,Co,81416,Delta,38.736655,-108.099446
2019,,,Delta County Humane Society ,,,,,,,
2007,5356.0,,"Demars, Karen",641 N. Cty. Rd. 3,Loveland,Co,80537.0,,,
2016,,,Demi's Animal,,Aurora,,80016,Arapahoe County,41.75527,-88.309507
2015,,Pet Animal Large Rescue,Demi's Animal Rescue,23965 E Kettle Pl,Aurora,Co,80016,Arapahoe County,39.592658,-104.731172
2017,,Pet Animal Large Rescue,Demi's Animal Rescue,23965 E Kettle Pl,Aurora,Co,80016,Arapahoe County,39.592658,-104.731172
2019,,Pet Animal Large Rescue,Demi's Animal Rescue,23965 E Kettle Pl,Aurora,Co,80016,Arapahoe County,39.592658,-104.731172
2021,,Pet Animal Large Rescue,Demi's Animal Rescue,23965 E Kettle Pl,Aurora,Co,80016,Arapahoe County,39.592658,-104.731172
2022,,Pet Animal Large Rescue,Demi's Animal Rescue,23965 E Kettle Pl,Aurora,Co,80016,Arapahoe County,39.592658,-104.731172
2023,,Pet Animal Large Rescue,Demi's Animal Rescue,23965 E Kettle Pl,Aurora,Co,80016,Arapahoe County,39.592658,-104.731172
Licensing,,Pet Animal Large Rescue,Demi's Animal Rescue,23965 E Kettle Pl,Aurora,Co,80016,Arapahoe,39.592658,-104.731172
2018,,,Demi's Animal Rescue Inc,,,,,Douglas County,,
2020,,,Demi's Animal Rescue Inc,,,,,Douglas County,,
2010,6382,,Denia Animal Sanctuary,14253 Highway 392,Greeley,Co,80631.0,,,
2007,5413.0,Pet Animal Large Rescue,Denkai Animal Sanctuary,10375 Wcr 118,Carr,Co,80612.0,Weld County,40.526023,-104.713681
2007,5841.0,Pet Animal Large Rescue,Denkai Animal Sanctuary,400 W 67th St.,Loveland,Co,80538.0,Weld County,40.526023,-104.713681
2008,5985,Pet Animal Large Rescue,Denkai Animal Sanctuary,36710 Wcr 126,Grover,Co,80729.0,Weld County,40.526023,-104.713681
2011,6382,Pet Animal Large Rescue,Denkai Animal Sanctuary,14253 Hwy 392,Greeley,Co,80631.0,Weld County,40.526023,-104.713681
2012,6382.0,Pet Animal Large Rescue,Denkai Animal Sanctuary,14253 Hwy 392,Greeley,Co,80631.0,Weld County,40.526023,-104.713681
2013,6912,Pet Animal Large Rescue,Denkai Animal Sanctuary,217 First St,Eaton,Co,80615.0,Weld County,40.526023,-104.713681
2014,6912,Pet Animal Large Rescue,Denkai Animal Sanctuary,215 First St,Eaton ,Co,80615,Weld County,40.526023,-104.713681
2018,6912,Pet Animal Large Rescue,Denkai Animal Sanctuary,215 First St,Eaton ,Co,80615,Montezuma County,40.526023,-104.713681
2019,6912,Pet Animal Large Rescue,Denkai Animal Sanctuary,215 First St,Eaton ,Co,80615,Montezuma County,40.526023,-104.713681
2020,6912,Pet Animal Large Rescue,Denkai Animal Sanctuary,215 First St,Eaton ,Co,80615,Montezuma County,40.526023,-104.713681
2021,6912,Pet Animal Large Rescue,Denkai Animal Sanctuary,215 First St,Eaton ,Co,80615,Montezuma County,40.526023,-104.713681
2022,6912,Pet Animal Large Rescue,Denkai Animal Sanctuary,215 First St,Eaton ,Co,80615,Montezuma County,40.526023,-104.713681
2023,6912,Pet Animal Large Rescue,Denkai Animal Sanctuary,215 First St,Eaton ,Co,80615,Montezuma County,40.526023,-104.713681
Licensing,6912,Pet Animal Large Rescue,Denkai Animal Sanctuary,215 First St,Durango,Co,80615,La Plata,40.526023,-104.713681
2016,,,Denver Animal Protection,,Denver,,80223,Denver County,39.738453,-104.984853
2011,6692,Pet Animal Large Shelter,Denver Animal Shelter,1241 W. Bayaud Ave.,Denver,Co,80223.0,Denver County,39.714823,-105.004808
2012,6692.0,Pet Animal Large Shelter,Denver Animal Shelter,1241 W. Bayaud Ave.,Denver,Co,80223.0,Denver County,39.714823,-105.004808
2013,6692,Pet Animal Large Shelter,Denver Animal Shelter,1241 W. Bayaud Ave.,Denver,Co,80223.0,Denver County,39.714823,-105.004808
2014,6692,Pet Animal Large Shelter,Denver Animal Shelter,1241 W Bayaud Ave,Denver ,Co,80223,Denver County,39.714823,-105.004808
2015,6692,Pet Animal Large Shelter,Denver Animal Shelter,1241 W. Bayaud Ave,Denver ,Co,80223,Denver County,39.714823,-105.004808
2017,6692,Pet Animal Large Shelter,Denver Animal Shelter,1241 W. Bayaud Ave,Denver,Co,80223,Denver County,39.698081,-105.001615
2018,6692,Pet Animal Large Shelter,Denver Animal Shelter,1241 W. Bayaud Ave,Denver,Co,80223,Denver County,39.698081,-105.001615
2019,6692,Pet Animal Large Shelter,Denver Animal Shelter,1241 W. Bayaud Ave,Denver,Co,80223,Denver County,39.698081,-105.001615
2020,6692,Pet Animal Large Shelter,Denver Animal Shelter,1241 W. Bayaud Ave,Denver,Co,80223,Denver County,39.698081,-105.001615
2021,6692,Pet Animal Large Shelter,Denver Animal Shelter,1241 W. Bayaud Ave,Denver,Co,80223,Denver County,39.698081,-105.001615
2022,6692,Pet Animal Large Shelter,Denver Animal Shelter,1241 W. Bayaud Ave,Denver,Co,80223,Denver County,39.698081,-105.001615
2023,6692,Pet Animal Large Shelter,Denver Animal Shelter,1241 W. Bayaud Ave,Denver,Co,80223,Denver County,39.698081,-105.001615
Licensing,6692,Pet Animal Large Shelter,Denver Animal Shelter,1241 W. Bayaud Ave,Denver,Co,80223,Denver,39.698081,-105.001615
2019,,,Denver Cat Company,,,,,,,
2020,,Pet Animal Small Shelter,Denver Cat Rescue,,Denver,Co,,Denver,,
2021,,Pet Animal Small Shelter,Denver Cat Rescue,,Denver,Co,,Denver,,
2022,,Pet Animal Small Shelter,Denver Cat Rescue,,Denver,Co,,Denver,,
2023,,Pet Animal Small Shelter,Denver Cat Rescue,,Denver,Co,,Denver,,
Licensing,,Pet Animal Small Shelter,Denver Cat Rescue,,Denver,Co,,Denver,,
2022,,,Denver Dachshunds,,,,,,,
2014,,Pet Animal Small Shelter,Denver Dachshunds Rescue and Transport,19331 E Purdue Cir,Aurora ,Co,80013,Arapahoe County,39.640012,-104.762473
2015,,Pet Animal Small Shelter,Denver Dachshunds Rescue and Transport,1165 Hereford Dr,Aurora ,Co,81069,Huerfano County,39.640012,-104.762473
2016,,Pet Animal Small Shelter,Denver Dachshunds Rescue and Transport,1165 Hereford Dr,Rye,Co,81069,Huerfano County,40.98069,-73.683767
2017,,Pet Animal Small Shelter,Denver Dachshunds Rescue and Transport,1165 Hereford Dr,Calhan,Co,80808,El Paso County,38.974316,-104.313488
2018,,Pet Animal Small Shelter,Denver Dachshunds Rescue and Transport,1165 Hereford Dr,Calhan,Co,80808,Denver County,38.974316,-104.313488
2019,,Pet Animal Small Shelter,Denver Dachshunds Rescue and Transport,1165 Hereford Dr,Calhan,Co,80808,Denver County,38.974316,-104.313488
2020,,Pet Animal Small Shelter,Denver Dachshunds Rescue and Transport,1165 Hereford Dr,Calhan,Co,80808,Denver County,38.974316,-104.313488
2021,,Pet Animal Small Shelter,Denver Dachshunds Rescue and Transport,1165 Hereford Dr,Calhan,Co,80808,Denver County,38.974316,-104.313488
Licensing,,Pet Animal Small Shelter,Denver Dachshunds Rescue and Transport,1165 Hereford Dr,Calhan,Co,80808,El Paso,38.974316,-104.313488
2013,,,Denver Dachsunds Rescue & Transport,19331 E Purdue Cir,Aurora,Co,80013.0,,,
Licensing,,Pet Animal Small Rescue,Denver Kittens,,Lakewood,Co,,Jefferson,,
2007,5.0,,Denver Municipal Animal Shelter,678 S Jason St.,Denver,Co,80223.0,,,
2008,5,,Denver Municipal Animal Shelter,678 S Jason St.,Denver,Co,80223.0,,,
2009,5,,Denver Municipal Animal Shelter,678 S Jason St.,Denver,Co,80223.0,,,
2010,5,,Denver Municipal Animal Shelter,678 S Jason St.,Denver,Co,80223.0,,,
2017,,,"Denver Samoyed Association, Inc.",,Broomfield,,80023,Broomfield County,39.969874,-105.01913
2018,,,"Denver Samoyed Association, Inc.",,Broomfield,,80023,Broomfield County,39.969874,-105.01913
2019,,,"Denver Samoyed Association, Inc.",,Broomfield,,80023,Broomfield County,39.969874,-105.01913
2020,,,"Denver Samoyed Association, Inc. (Denver Samoyed Rescue)",,,,,,,
2007,2567.0,,Denver Samoyed Rescue,3790 S. Ulster St,Denver,Co,80237.0,,,
2008,2567,,Denver Samoyed Rescue,3790 S. Ulster St,Denver,Co,80237.0,,,
2009,2567,,Denver Samoyed Rescue,3790 S. Ulster St,Denver,Co,80237.0,,,
2021,2567,,Denver Samoyed Rescue,3790 S. Ulster St,Denver,Co,80237.0,,,
2022,2567,,Denver Samoyed Rescue,3790 S. Ulster St,Denver,Co,80237.0,,,
2011,6447,,Desperate Housecats of Teller County,211 E. Portland Ave.,Victor,Co,80860.0,,,
2012,6447.0,,Desperate Housecats of Teller County,211 E. Portland Ave.,Victor,Co,80860.0,,,
2010,6447,,Despreate Housecats of Telle County,211 E. Portland Ave,Victor,Co,80860.0,,,
2017,,,"Disclaimer: Although PACFA requires this data to be submitted and takes all care possible to ensure the validity of this data, we do not control, and therefore guarantee, the complete accuracy, completeness and availability of data. PACFA believes this information to be within ± 4% margin of error. The CDA-PACFA is not responsible for any issues that may arise from
the use of this data.",,,,,,,
2015,,,Divide Creek Animal Hospital,470 Cr 31,Silt,,81652,Garfield County,34.999699,-117.748596
2016,,,Divide Creek Animal Hospital,470 Cr 31,Silt,,81652,Garfield County,34.999699,-117.748596
2017,,,Divide Creek Animal Hospital,470 Cr 31,Silt,,81652,Garfield County,39.509176,-107.656748
2018,,,Divide Creek Animal Hospital,470 Cr 31,Silt,,81652,Garfield County,39.509176,-107.656748
2016,,,Divine Feline Inc,,Denver,,80219,Denver County,39.738453,-104.984853
2017,,,Divine Feline Inc,,Denver,,80219,Denver County,39.696096,-105.034969
Licensing,,Pet Animal Small Rescue,Dizzy Dog Animal Rescue,,Colorado Springs,Co,,El Paso,,
2010,6238,,Dmk Rehoming,8154 Downing Drive,Thornton,Co,80229.0,,,
2014,,,Do Over Dogs - A Second Chance At Life,13437 Bryant  Way,Broomfield ,,80020,Broomfield County,39.941565,-105.018076
2015,,,Do Over Dogs A Second Chance At Life,13437 Bryant Way,Broomfield,,Co,Broomfield County,39.925616,-105.066301
2017,,,Do Over Dogs A Second Chance At Life,13437 Bryant Way,Broomfield,,80020,Broomfield County,39.925616,-105.066301
2018,,,Do Over Dogs A Second Chance At Life,13437 Bryant Way,Broomfield,,80020,Broomfield County,39.925616,-105.066301
2019,,,Do Over Dogs A Second Chance At Life,13437 Bryant Way,Broomfield,,80020,Broomfield County,39.925616,-105.066301
2020,,,Do Over Dogs A Second Chance At Life,13437 Bryant Way,Broomfield,,80020,Broomfield County,39.925616,-105.066301
2021,,,Do Over Dogs A Second Chance At Life,13437 Bryant Way,Broomfield,,80020,Broomfield County,39.925616,-105.066301
2022,,,Do Over Dogs A Second Chance At Life,13437 Bryant Way,Broomfield,,80020,Broomfield County,39.925616,-105.066301
2023,,,Do Over Dogs A Second Chance At Life,13437 Bryant Way,Broomfield,,80020,Broomfield County,39.925616,-105.066301
2007,2565.0,,Doberman Rescue Of Colorado,3071 S. Ogden St,Englewood,Co,80113.0,,,
2008,2565,,Doberman Rescue Of Colorado,3071 S. Ogden St,Englewood,Co,80113.0,,,
2009,2565,,Doberman Rescue Of Colorado,3071 S. Ogden St,Englewood,Co,80113.0,,,
2010,2565,,Doberman Rescue Of Colorado,3071 S. Ogden St,Englewood,Co,80113.0,,,
2011,2565,,Doberman Rescue Of Colorado,3071 S. Ogden St,Englewood,Co,80113.0,,,
2012,2565.0,,Doberman Rescue Of Colorado,3071 S. Ogden St,Englewood,Co,80113.0,,,
2013,2565,,Doberman Rescue Of Colorado,3071 S. Ogden St,Englewood,Co,80113.0,,,
2014,,,Doberman Rescue of Colorado,3071 S Ogden St,Englewood ,,80113,Arapahoe County,39.660903,-104.975791
2015,,,Doberman Rescue of Colorado,3071 S Ogden St,Englewood ,,80113,Arapahoe County,39.660903,-104.975791
2016,,,Doberman Rescue of Colorado,3071 S Ogden St,Englewood,,80113,Arapahoe County,39.649436,-104.98891
2017,,,Doberman Rescue of Colorado,3071 S Ogden St,Englewood,,80113,Arapahoe County,39.644251,-104.966455
2018,,,Doberman Rescue of Colorado,3071 S Ogden St,Englewood,,80113,Arapahoe County,39.644251,-104.966455
2019,,,Doberman Rescue of Colorado,3071 S Ogden St,Englewood,,80113,Arapahoe County,39.644251,-104.966455
2020,,,Doberman Rescue of Colorado,3071 S Ogden St,Englewood,,80113,Arapahoe County,39.644251,-104.966455
2014,,,Doggie Designs,6508 S Lunar Ct,Ft Collins ,,80525,Larimer County,40.496238,-105.082318
2012,6875.0,,Doggie Designs/Casa de Chihuahua,6508 S Lunar Ct,Ft Collins,Co,80525.0,,,
